1.5,1.9398702413758533,1.915
3.0,3.696461656133814,3.748
4.5,5.744633022329332,5.738
6.0,7.405216404296877,7.500
7.5,9.609845305410108,9.57
9.0,11.11041529939363,11.230
10.5,13.403940527164648,13.373
12.0,14.81561419449038,14.95
13.5,17.21581501425075,17.17
15.0,18.52081308958713,18.69
18.0,22.23667954388282,22.44
21.0,25.97743696964268,26.175
24.0,29.69330342393837,29.90
27.0,33.146036751326996,33.60
30.0,35.1906522644562,37.35
1.5,1.9256468291106066,1.908
3.0,3.6857940969348797,3.730
4.5,5.7197420508651495,5.71
6.0,7.380325432832696,7.457
7.5,9.535172391017563,9.522
9.0,11.078412621796824,11.200
12.0,14.780055663827262,14.93
15.0,18.49236626505664,18.660
